Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2004-11-18T05:00:00.000Z,44.43,44.49,44.07,44.38,,-0.0857,"5,992,000"
2004-11-19T05:00:00.000Z,44.49,44.92,44.47,44.78,0.9013,0.8156,"11,655,301"
2004-11-22T05:00:00.000Z,44.75,44.97,44.74,44.95,0.3796,0.2939,"11,996,000"
2004-11-23T05:00:00.000Z,44.88,44.92,44.72,44.75,-0.4449,-0.5307,"3,169,200"
2004-11-24T05:00:00.000Z,44.93,45.05,44.79,45.05,0.6704,0.5847,"6,105,102"
2004-11-26T05:00:00.000Z,45.25,45.6,45.06,45.29,0.5327,0.447,"3,097,700"
2004-11-29T05:00:00.000Z,45.1,45.5,45.08,45.4,0.2429,0.1572,"3,759,000"
2004-11-30T05:00:00.000Z,45.37,45.41,44.82,45.12,-0.6167,-0.7025,"3,859,100"
2004-12-01T05:00:00.000Z,45.28,45.59,45.26,45.38,0.5762,0.4905,"2,037,500"
2004-12-02T05:00:00.000Z,45.55,45.57,44.68,44.95,-0.9476,-1.03,"6,457,801"
2004-12-03T05:00:00.000Z,45.04,46,44.8,45.6,1.45,1.36,"4,218,301"
2004-12-06T05:00:00.000Z,45.39,45.47,45.11,45.17,-0.943,-1.03,"3,103,000"
2004-12-07T05:00:00.000Z,45.3,45.32,45.07,45.11,-0.1328,-0.2185,"3,809,400"
2004-12-08T05:00:00.000Z,43.8,44.02,43.36,44.01,-2.44,-2.52,"6,150,500"
2004-12-09T05:00:00.000Z,43.75,43.9,43.2,43.78,-0.5226,-0.6083,"3,553,400"
2004-12-10T05:00:00.000Z,43.37,43.6,43.31,43.44,-0.7766,-0.8623,"2,464,300"
2004-12-13T05:00:00.000Z,43.61,44.01,43.51,43.91,1.08,0.9962,"1,445,100"
2004-12-14T05:00:00.000Z,43.76,43.8,43.51,43.55,-0.8199,-0.9056,"2,240,600"
2004-12-15T05:00:00.000Z,44.1,44.17,43.92,43.99,1.01,0.9246,"2,641,400"
2004-12-16T05:00:00.000Z,43.99,44.05,43.58,43.68,-0.7047,-0.7904,"3,269,800"
2004-12-17T05:00:00.000Z,43.93,44.22,43.78,44.19,1.17,1.08,"1,889,300"
2004-12-20T05:00:00.000Z,44.33,44.37,44.13,44.34,0.3394,0.2537,"1,942,100"
2004-12-21T05:00:00.000Z,44.13,44.24,44.05,44.22,-0.2706,-0.3563,"1,373,400"
2004-12-22T05:00:00.000Z,44.2,44.23,43.89,44.02,-0.4523,-0.538,"2,706,800"
2004-12-23T05:00:00.000Z,44.17,44.35,44.05,44.27,0.5679,0.4822,"639,800"
2004-12-27T05:00:00.000Z,44.29,44.56,44.27,44.48,0.4744,0.3886,"2,643,700"
2004-12-28T05:00:00.000Z,44.42,44.47,44.29,44.37,-0.2473,-0.333,"773,200"
2004-12-29T05:00:00.000Z,43.92,44.02,43.35,43.66,-1.6,-1.69,"5,633,500"
2004-12-30T05:00:00.000Z,43.5,43.88,43.49,43.83,0.3894,0.3037,"1,289,700"
2004-12-31T05:00:00.000Z,43.85,43.94,43.73,43.8,-0.0684,-0.1542,"531,600"
2005-01-03T05:00:00.000Z,42.98,43.17,42.74,43.02,-1.78,-1.87,"4,750,500"
2005-01-04T05:00:00.000Z,42.8,42.91,42.46,42.74,-0.6509,-0.7366,"3,456,800"
2005-01-05T05:00:00.000Z,42.75,42.88,42.6,42.67,-0.1638,-0.2495,"2,108,700"
2005-01-06T05:00:00.000Z,42.48,42.56,42.07,42.15,-1.22,-1.3,"2,556,400"
2005-01-07T05:00:00.000Z,42.09,42.39,41.7,41.84,-0.7355,-0.8212,"4,492,699"
2005-01-10T05:00:00.000Z,41.99,42.07,41.89,41.95,0.2629,0.1772,"1,026,100"
2005-01-11T05:00:00.000Z,42.21,42.28,42.12,42.21,0.6198,0.5341,"1,507,300"
2005-01-12T05:00:00.000Z,42.52,42.79,42.48,42.6,0.924,0.8382,"1,738,000"
2005-01-13T05:00:00.000Z,42.39,42.6,42.34,42.6,,-0.0857,"718,300"
2005-01-14T05:00:00.000Z,42.19,42.32,42.13,42.32,-0.6573,-0.743,"1,262,300"
2005-01-18T05:00:00.000Z,42.22,42.38,42.15,42.32,,-0.0857,"666,800"
2005-01-19T05:00:00.000Z,42.65,42.65,42.2,42.26,-0.1418,-0.2275,"1,578,900"
2005-01-20T05:00:00.000Z,42.12,42.32,42.11,42.25,-0.0237,-0.1094,"1,276,200"
2005-01-21T05:00:00.000Z,42.32,42.82,42.29,42.74,1.16,1.07,"889,800"
2005-01-24T05:00:00.000Z,42.74,42.82,42.67,42.77,0.0702,-0.0155,"2,294,900"
2005-01-25T05:00:00.000Z,42.53,42.56,42.1,42.24,-1.24,-1.32,"1,332,500"
2005-01-26T05:00:00.000Z,42.59,42.78,42.56,42.69,1.07,0.9796,"541,800"
2005-01-27T05:00:00.000Z,42.48,42.65,42.4,42.62,-0.164,-0.2497,"571,200"
2005-01-28T05:00:00.000Z,42.71,42.73,42.43,42.69,0.1642,0.0785,"1,149,100"
2005-01-31T05:00:00.000Z,42.21,42.3,41.96,42.22,-1.1,-1.19,"1,692,400"
2005-02-01T05:00:00.000Z,42.09,42.14,41.95,42.1,-0.2842,-0.3699,"1,088,900"
2005-02-02T05:00:00.000Z,42.22,42.23,42.02,42.16,0.1425,0.0568,"956,500"
2005-02-03T05:00:00.000Z,41.56,41.74,41.5,41.68,-1.14,-1.22,"2,446,400"
2005-02-04T05:00:00.000Z,41.59,41.65,41.39,41.47,-0.5038,-0.5896,"1,819,400"
2005-02-07T05:00:00.000Z,41.55,41.55,41.21,41.27,-0.4823,-0.568,"1,754,000"
2005-02-08T05:00:00.000Z,41.19,41.4,41.05,41.26,-0.0242,-0.1099,"1,296,800"
2005-02-09T05:00:00.000Z,41.03,41.36,41.02,41.31,0.1212,0.0355,"3,477,900"
2005-02-10T05:00:00.000Z,41.53,41.84,41.45,41.75,1.07,0.9794,"7,774,500"
2005-02-11T05:00:00.000Z,41.89,42.16,41.83,42.08,0.7904,0.7047,"1,896,500"
2005-02-14T05:00:00.000Z,42.37,42.63,42.32,42.55,1.12,1.03,"2,351,800"
2005-02-15T05:00:00.000Z,42.4,42.6,42.34,42.58,0.0705,-0.0152,"1,559,900"
2005-02-16T05:00:00.000Z,42.32,42.6,42.2,42.52,-0.1409,-0.2266,"1,820,300"
2005-02-17T05:00:00.000Z,42.52,42.81,42.51,42.73,0.4939,0.4082,"3,054,200"
2005-02-18T05:00:00.000Z,42.71,42.82,42.64,42.75,0.0468,-0.0389,"863,200"
2005-02-22T05:00:00.000Z,43.39,43.63,43.2,43.57,1.92,1.83,"3,378,500"
2005-02-23T05:00:00.000Z,43.29,43.55,43.15,43.42,-0.3443,-0.43,"1,534,900"
2005-02-24T05:00:00.000Z,43.48,43.48,43.2,43.33,-0.2073,-0.293,"1,219,300"
2005-02-25T05:00:00.000Z,43.41,43.55,43.22,43.5,0.3923,0.3066,"1,100,100"
2005-02-28T05:00:00.000Z,43.68,43.74,43.52,43.52,0.046,-0.0397,"759,100"
2005-03-01T05:00:00.000Z,43.3,43.37,43.1,43.22,-0.6893,-0.7751,"3,245,500"
2005-03-02T05:00:00.000Z,43.16,43.35,43.08,43.25,0.0694,-0.0163,"1,188,000"
2005-03-03T05:00:00.000Z,43.06,43.13,42.9,42.97,-0.6474,-0.7331,"1,924,600"
2005-03-04T05:00:00.000Z,43.33,43.52,43.31,43.38,0.9542,0.8684,"915,000"
2005-03-07T05:00:00.000Z,43.32,43.51,43.26,43.47,0.2075,0.1218,"1,290,100"
2005-03-08T05:00:00.000Z,43.71,44.08,43.59,44.03,1.29,1.2,"2,674,900"
2005-03-09T05:00:00.000Z,43.95,44.2,43.92,44.02,-0.0227,-0.1084,"3,025,000"
2005-03-10T05:00:00.000Z,44.16,44.25,44,44.2,0.4089,0.3232,"2,065,000"
2005-03-11T05:00:00.000Z,44.31,44.67,44.28,44.43,0.5204,0.4346,"2,659,600"
2005-03-14T05:00:00.000Z,44.26,44.26,43.95,44.03,-0.9003,-0.986,"867,100"
2005-03-15T05:00:00.000Z,44.23,44.23,43.93,44.06,0.0681,-0.0176,"1,254,900"
2005-03-16T05:00:00.000Z,44.29,44.35,44.2,44.31,0.5674,0.4817,"2,223,300"
2005-03-17T05:00:00.000Z,43.97,43.97,43.67,43.82,-1.11,-1.19,"1,525,200"
2005-03-18T05:00:00.000Z,43.61,43.95,43.6,43.89,0.1643,0.0786,"1,207,500"
2005-03-21T05:00:00.000Z,43.24,43.25,42.87,43.09,-1.83,-1.91,"3,814,400"
2005-03-22T05:00:00.000Z,43.21,43.22,42.55,42.65,-1.02,-1.11,"2,609,400"
2005-03-23T05:00:00.000Z,42.6,42.67,42.35,42.42,-0.5393,-0.625,"2,618,600"
2005-03-24T05:00:00.000Z,42.51,42.54,42.37,42.39,-0.0707,-0.1564,"1,466,300"
2005-03-28T05:00:00.000Z,42.45,42.58,42.41,42.54,0.3539,0.2681,"581,100"
2005-03-29T05:00:00.000Z,42.61,42.63,42.54,42.56,0.047,-0.0387,"1,197,800"
2005-03-30T05:00:00.000Z,42.65,42.81,42.56,42.61,0.1175,0.0318,"1,324,300"
2005-03-31T05:00:00.000Z,42.87,42.87,42.7,42.82,0.4928,0.4071,"1,363,200"
2005-04-01T05:00:00.000Z,42.6,42.62,42.45,42.62,-0.4671,-0.5528,"2,448,500"
2005-04-04T04:00:00.000Z,42.43,42.43,42.23,42.4,-0.5162,-0.6019,"1,893,100"
2005-04-05T04:00:00.000Z,42.49,42.54,42.38,42.45,0.1179,0.0322,"888,000"
2005-04-06T04:00:00.000Z,42.49,42.72,42.49,42.63,0.424,0.3383,"1,637,500"
2005-04-07T04:00:00.000Z,42.77,42.81,42.53,42.57,-0.1407,-0.2265,"2,853,000"
2005-04-08T04:00:00.000Z,42.48,42.71,42.46,42.69,0.2819,0.1962,"1,002,300"
2005-04-11T04:00:00.000Z,42.84,42.96,42.74,42.78,0.2108,0.1251,"514,100"
2005-04-12T04:00:00.000Z,42.7,42.84,42.61,42.84,0.1403,0.0545,"2,098,700"
2005-04-13T04:00:00.000Z,42.76,42.95,42.68,42.9,0.1401,0.0543,"384,000"
2005-04-14T04:00:00.000Z,42.45,42.48,42.16,42.31,-1.38,-1.46,"3,680,300"
2005-04-15T04:00:00.000Z,42.38,42.56,42.36,42.4,0.2127,0.127,"1,811,100"
2005-04-18T04:00:00.000Z,42.55,42.78,42.52,42.69,0.684,0.5982,"909,800"
2005-04-19T04:00:00.000Z,42.79,43.36,42.72,43.28,1.38,1.3,"3,145,400"
2005-04-20T04:00:00.000Z,43.21,43.52,43.19,43.4,0.2773,0.1916,"1,248,200"
2005-04-21T04:00:00.000Z,43.42,43.43,43.14,43.19,-0.4839,-0.5696,"1,550,600"
2005-04-22T04:00:00.000Z,43.46,43.5,43.31,43.39,0.4631,0.3774,"1,169,000"
2005-04-25T04:00:00.000Z,43.35,43.45,43.22,43.44,0.1152,0.0295,"906,300"
2005-04-26T04:00:00.000Z,43.69,43.7,43.5,43.64,0.4604,0.3747,"1,531,400"
2005-04-27T04:00:00.000Z,43.53,43.54,43.12,43.2,-1.01,-1.09,"2,762,800"
2005-04-28T04:00:00.000Z,43.16,43.27,42.99,43,-0.463,-0.5487,"2,260,300"
2005-04-29T04:00:00.000Z,43.18,43.61,43.18,43.35,0.814,0.7282,"3,736,700"
2005-05-02T04:00:00.000Z,43.13,43.17,42.81,42.88,-1.08,-1.17,"1,708,600"
2005-05-03T04:00:00.000Z,42.75,42.8,42.58,42.76,-0.2799,-0.3656,"1,268,700"
2005-05-04T04:00:00.000Z,42.87,42.92,42.73,42.9,0.3274,0.2417,"607,600"
2005-05-05T04:00:00.000Z,42.96,42.96,42.71,42.91,0.0233,-0.0624,"319,300"
2005-05-06T04:00:00.000Z,42.43,42.63,42.34,42.52,-0.9089,-0.9946,"3,722,700"
2005-05-09T04:00:00.000Z,42.54,42.61,42.48,42.55,0.0706,-0.0152,"600,000"
2005-05-10T04:00:00.000Z,42.71,42.79,42.58,42.64,0.2115,0.1258,"461,000"
2005-05-11T04:00:00.000Z,42.55,42.83,42.51,42.69,0.1173,0.0315,"764,600"
2005-05-12T04:00:00.000Z,42.42,42.48,41.97,42.16,-1.24,-1.33,"1,880,200"
2005-05-13T04:00:00.000Z,42.12,42.12,41.83,41.95,-0.4981,-0.5838,"802,600"
2005-05-16T04:00:00.000Z,41.77,41.9,41.77,41.88,-0.1669,-0.2526,"874,500"
2005-05-17T04:00:00.000Z,41.95,42.05,41.83,41.86,-0.0478,-0.1335,"880,800"
2005-05-18T04:00:00.000Z,41.99,42.11,41.83,42.05,0.4539,0.3682,"2,207,100"
2005-05-19T04:00:00.000Z,42,42.05,41.87,41.98,-0.1665,-0.2522,"610,200"
2005-05-20T04:00:00.000Z,41.76,41.83,41.61,41.65,-0.7861,-0.8718,"932,800"
2005-05-23T04:00:00.000Z,41.69,41.75,41.55,41.62,-0.072,-0.1577,"5,001,898"
2005-05-24T04:00:00.000Z,41.83,41.83,41.65,41.73,0.2643,0.1786,"1,684,600"
2005-05-25T04:00:00.000Z,41.78,41.9,41.69,41.87,0.3355,0.2498,"1,535,100"
2005-05-26T04:00:00.000Z,41.73,41.81,41.65,41.69,-0.4299,-0.5156,"341,500"
2005-05-27T04:00:00.000Z,41.81,41.96,41.74,41.88,0.4557,0.37,"2,453,600"
2005-05-31T04:00:00.000Z,41.45,41.69,41.33,41.65,-0.5492,-0.6349,"3,198,900"
2005-06-01T04:00:00.000Z,41.41,41.65,41.4,41.53,-0.2881,-0.3738,"1,792,900"
2005-06-02T04:00:00.000Z,41.94,42.28,41.91,42.1,1.37,1.29,"5,752,602"
2005-06-03T04:00:00.000Z,42.33,42.39,42.17,42.17,0.1663,0.0806,"3,350,700"
2005-06-06T04:00:00.000Z,42.56,42.65,42.45,42.48,0.7351,0.6494,"2,470,800"
2005-06-07T04:00:00.000Z,42.48,42.48,42.31,42.38,-0.2354,-0.3211,"611,000"
2005-06-08T04:00:00.000Z,42.45,42.56,42.24,42.34,-0.0944,-0.1801,"691,500"
2005-06-09T04:00:00.000Z,42.24,42.4,42.03,42.27,-0.1653,-0.251,"694,700"
2005-06-10T04:00:00.000Z,42.25,42.72,42.12,42.62,0.828,0.7423,"1,678,000"
2005-06-13T04:00:00.000Z,42.81,43.01,42.7,42.78,0.3754,0.2897,"2,331,600"
2005-06-14T04:00:00.000Z,42.66,42.7,42.58,42.6,-0.4208,-0.5065,"825,500"
