Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2025-06-23T15:10:00.000Z,"5,997.99","5,999.11","5,997.99","5,998.61",0.0113,0.0109,71
2025-06-23T15:11:00.000Z,"5,998.64","5,998.83","5,997.93","5,998.46",-0.0025,-0.0029,43
2025-06-23T15:12:00.000Z,"5,998.43","5,998.54","5,996.62","5,996.62",-0.0307,-0.0311,50
2025-06-23T15:13:00.000Z,"5,996.72","5,997.28","5,996.19","5,997.26",0.0107,0.0103,44
2025-06-23T15:14:00.000Z,"5,997.22","5,998.97","5,997.22","5,998.97",0.0285,0.0281,53
2025-06-23T15:15:00.000Z,"5,998.99","5,999.49","5,998.67","5,999.41",0.0073,0.0069,54
2025-06-23T15:16:00.000Z,"5,999.37","5,999.52","5,998.39","5,998.86",-0.0092,-0.0096,53
2025-06-23T15:17:00.000Z,"5,998.98","5,999.07","5,998.27","5,998.36",-0.0083,-0.0087,44
2025-06-23T15:18:00.000Z,"5,998.41","5,999.11","5,997.55","5,999.09",0.0122,0.0118,50
2025-06-23T15:19:00.000Z,"5,999.15","5,999.52","5,998.10","5,998.82",-0.0045,-0.0049,56
2025-06-23T15:20:00.000Z,"5,998.77","5,998.92","5,998.22","5,998.42",-0.0067,-0.0071,45
2025-06-23T15:21:00.000Z,"5,998.40","5,998.44","5,995.04","5,995.09",-0.0555,-0.0559,62
2025-06-23T15:22:00.000Z,"5,994.95","5,995.66","5,994.51","5,994.76",-0.0055,-0.0059,58
2025-06-23T15:23:00.000Z,"5,994.75","5,995.71","5,994.75","5,995.49",0.0122,0.0118,58
2025-06-23T15:24:00.000Z,"5,995.54","5,995.58","5,994.71","5,995.00",-0.0082,-0.0086,48
2025-06-23T15:25:00.000Z,"5,994.90","5,995.21","5,993.47","5,993.54",-0.0244,-0.0248,48
2025-06-23T15:26:00.000Z,"5,993.48","5,993.48","5,992.27","5,992.27",-0.0212,-0.0216,54
2025-06-23T15:27:00.000Z,"5,992.11","5,992.11","5,990.54","5,990.54",-0.0289,-0.0293,61
